date,btc_mcap,eth_mcap,total_mcap,btc_dominance,eth_dominance,alt_dominance
2020-07-03,167604994105.34857,25284990219.958416,263137840170.7172,0.6369475176835482,0.09609028562199246,0.26696219669445936
2020-07-04,167116284671.21997,25132071680.625286,262929032911.45853,0.6355946424809483,0.0955850002654082,0.2688203572536435
2020-07-05,168258822207.29507,25572481115.80829,265813702857.8621,0.6329952910564122,0.0962045253531666,0.27080018359042124
2020-07-06,167429736492.90482,25442148685.628662,264244821816.9815,0.6336159601601133,0.09628248724302396,0.2701015525968627
2020-07-07,172136257752.3712,26966777214.595856,274930756424.8696,0.6261076788598983,0.09808570552551137,0.27580661561459036
2020-07-08,170510411872.0138,26667827703.348965,273380492520.10403,0.623710968914414,0.09754839292854024,0.27874063815704575
2020-07-09,173809293389.63837,27538955079.081337,281365113257.04767,0.6177357646711902,0.09787622481086516,0.28438801051794466
2020-07-10,170198606143.6283,27017961197.637337,275465628776.99194,0.6178578681459224,0.09808106121112556,0.28406107064295205
2020-07-11,171104767641.88345,26917385878.316235,276905590836.86993,0.6179173454922561,0.09720780933662604,0.2848748451711179
2020-07-12,170191069703.26535,26712364780.153114,277055132357.82513,0.6142859302222144,0.0964153399824165,0.2892987297953691
2020-07-13,171364106456.32056,26889793823.339703,278973983474.9337,0.6142655466355267,0.09638817745080447,0.28934627591366885
2020-07-14,170370727819.23874,26757968884.421734,277286096208.4561,0.6144221803719963,0.09649949727124371,0.28907832235676
2020-07-15,170451532161.73575,26870705032.69441,278439751262.4044,0.6121666586359665,0.09650455766774187,0.2913287836962916
2020-07-16,169758848797.9732,26686755678.99533,278099134350.56433,0.6104256641949116,0.0959613043791597,0.29361303142592865
2020-07-17,168496782960.8989,26142878196.66504,274864351153.9515,0.6130179568703832,0.09511192734492664,0.2918701157846902
2020-07-18,168760444137.05035,26015174195.367386,275759224441.6566,0.6119847648931709,0.09434017755178127,0.29367505755504786
2020-07-19,169031588403.36658,26352655621.66684,277045007906.34,0.6101232059034635,0.09512048537101171,0.29475630872552483
2020-07-20,169692625141.8043,26715274452.48371,278706275324.7234,0.6088582861799353,0.0958545853384804,0.2952871284815843
2020-07-21,168936986921.46805,26401433618.61543,275944410158.7979,0.612213839824658,0.09567663865132175,0.2921095215240202
2020-07-22,173036757675.6725,27404691587.94453,283059552559.8975,0.6113086667126579,0.09681599274818854,0.29187534053915354
2020-07-23,175370017196.6754,29528105819.948067,289226460582.8605,0.6063415388870814,0.10209337610549835,0.29156508500742023
2020-07-24,176821599773.56787,30714049723.16856,292041697264.08984,0.6054669638961528,0.10517008362471682,0.28936295247913035
2020-07-25,175865705417.72916,31236557399.18939,291362019357.193,0.6035985946477395,0.10720874830598691,0.2891926570462736
2020-07-26,178740874539.49573,34136825749.9608,300604981823.92914,0.5946038334261144,0.11356041254817087,0.2918357540257147
2020-07-27,183064851468.00015,34754323492.16516,308828556030.7619,0.5927717754499534,0.11253597769211258,0.294692246857934
2020-07-28,202191797991.40768,35873239729.40686,326639256956.20844,0.6190064227904943,0.10982525512607408,0.27116832208343156
2020-07-29,201144184191.06567,35422047874.02414,327549260130.5788,0.6140883484544546,0.10814265878635476,0.27776899275919065
2020-07-30,204969785090.6761,35553131948.946304,331788349436.00354,0.6177727019019736,0.1071560590038256,0.2750712390942007
2020-07-31,205200775318.2176,37564052087.124535,334324746213.0087,0.6137768072587656,0.112357976825297,0.2738652159159374
2020-08-01,208933774575.1489,38794882275.39032,341763704358.371,0.6113398582432921,0.1135137575484326,0.2751463842082753
2020-08-02,217741425308.62857,43411673380.48453,361256519554.9258,0.6027335522605647,0.12016855345328703,0.2770978942861483
